question,answer
仁波切，您提到，一个上师不仅需要具有广博的佛教知识，也应该真切地理解众生的痛苦。您是如此受欢迎，因为您好像就是我们当中的一员，一点也不遥远。在您的人生中，您认为是什么让您懂得您的弟子们，理解他们的欢乐和痛苦？,"我不确信我能理解人们的痛苦。我希望我能理解，我真的想理解，并且我认为，任何一个负责任的佛法老师都应该理解。这很重要，事实上这可能是一个老师应该知道的最重要的事。医生必须知道病人的症状，否则这个医生就没有用处。

我希望自己不仅能够了解人类的痛苦，而且了解所有众生的痛苦，并且不仅了解，我希望自己还可以有同情心与同理心。老实说那并不容易，我一直以来也没能做到。一次在摩洛哥，我看到一头小驴拉着货车，车上有很多行李。只是那一瞬间，我想到这头小驴可能是我前世的姐妹。然后我给了小驴一些水果，小驴吃掉了。离开小驴时，我觉得这可能是我今生最后一次看到她，因为那是在摩洛哥中部的一个集市上。那天晚上，我在想，小驴现在会在做什么呢，她的主人对她好吗，等等。然后第二天清晨来临，该吃早餐了，她就被遗忘了。有时候，当我看到自己拍摄的小驴的照片，我感到有点悲伤。我希望这样的感觉来得再频繁一些，然而没有，我的心已经变得像连环杀手的心一样麻木。"
藏传佛教中活佛的轮回转世系统听上去很神秘。仁波切，修行者修行到什么程度才可以乘愿而来，而非像我们这样因为业力牵引而来到世间？,理想的情况下，所有活佛的示现都是愿力与慈悲的结果。对像我这样的人来说，我希望可以有选择，却如同风中之羽一般无法选择，而是被各种境界拉来推去。在吹动你的所有境遇中，最糟糕的就是宗教制度。这就是为什么伟大的策列·那措·让卓[6]在一个祈祷文中说，“永远不要重生为一个重要的大寺庙里的高阶喇嘛或者活佛”，因为一个寺庙里的高阶喇嘛会通过精神物质主义自欺欺人。有时候我想我宁愿在城市的某个地方重生为妓女，那样我可以避开所有这些精神物质主义的贪腐而利益众生。
仁波切可否谈谈活佛转世系统在佛教金刚乘传播过程中的角色和作用？,"我愿意相信活佛制度有助于金刚乘的传播，但严格来讲，我不知道活佛们在多大的程度上给予了帮助或是带来了伤害。这就是蒋扬钦哲确吉洛珠所说的：“将会传播佛法、使佛法得以稳固的是活佛，将会毁坏佛法的也是活佛。”他说得真对。特别是现在，有这么多假活佛——这么多！

假活佛的唯一好处是，他们使生活变得有趣。但这也很可怕，因为不幸的是，假活佛们不仅知道怎样接近大众，而且因为是假的，他们还格外努力去兜售自己。我们人类这么愚昧，总是信以为真。从逻辑上讲，如果一个人很努力地兜售自己，对我而言这已经显得有点儿可疑。然而事实上我们总是上当。这真让人难过。"
仁波切可否给我们讲讲，现在的年轻活佛是如何锻炼和成长的？,"我们的上一代，像顶果钦哲仁波切那一代，经历了许多风雨。基本上他们必须搬离自己的家园——那一定是很大的冲击——但他们却从未放弃佛法，而是在帐篷里日复一日、年复一年地传教佛法。他们在帐篷里培养和训练学生，吃的只是土豆，喝的只是热水，年复一年都是如此。

然后，我们这一代出现了。那些喇嘛没少训斥我们，说我们被宠坏了、太懒惰等等。那时候我们不能理解。毕竟，我们今天拥有的一切那时还都不存在，比如金光闪闪的寺庙以及里面漂亮的餐厅、地毯、汽车、电话、卧室、抽水马桶等等，我们在没有这些东西的环境中长大。我记得自己从印度边境步行前往位于尼泊尔的蓝毗尼，走了整整两天，就为了能赶上去加德满都的公共汽车，好在那里接受噶玛巴的传授——诸如此类。

这就是曾经的那一代人，如果你把这些告诉今天的年轻一代，他们会认为这只是个神话，甚至根本不相信你，因为他们没有看到过从前的生活方式。我想大部分年轻一代的活佛甚至从未坐过公共汽车，更不用说走路了。讽刺的是，我认为年轻的活佛们正在受到虐待，以一种极为奇怪的方式。

我说的甚至不是挨打，实际上挨打是在我们身上发生的。我被打过那么多次，乃至被打得头破血流，那是训练的传统。也是我应受的，因为我很野。但是现在，活佛们不仅不会挨打，简直是被庇护得太好了。即使是走一百步路，也会有十四个不同的侍者随行。如果是两百步路，一定会乘车前往，且通常是部很好的车。

所以，在二十岁或者二十五岁以前，为防止受到外面世界的伤害，他们被过度保护。然后年轻活佛体内的荷尔蒙开始增长，这你控制不了，因为是生物规律。他们开始看到自己难以应对的事情。目前正在活佛制度中发生的事有些讽刺意味，寺庙、活佛府等所有那些让小活佛们对真实的生活了无所知，以致他们长大后不知道该怎么与2015年的世界互动。

鉴于人类心智的运转规律，我担心很多年轻活佛在与世隔绝中长大，将会经历很多失意与痛苦。在我们的时代，我们真的是被惩罚、被训练出来的，于是到了二三十岁时，我们至少装备了些知识，对外面发生的事情有所了解。而现在，大多数年轻的活佛并不了解外面的世界。他们从未被拒绝过，头脑中从未有过分享的概念。一切都有人侍候。

现在我开始从几个年轻的活佛那里听到，因为荷尔蒙的增长，他们喜欢女孩子，却不知道怎样约会，甚至不知道怎样才算有礼貌。他们习惯于使唤人，发号施令，并得到自己想要的。他们不知道怎样建立亲密的关系，因为在一段关系中，你不可以总是差遣你的伙伴，那样不会成功，因为关系像是一曲探戈，需要两人共舞。"
为了在现代社会中更好地传播佛法和利益众生，您认为活佛转世制度是否需要与时俱进地做出调整？如果需要，哪些部分应该保留，哪些部分应该加以改变呢？,"我确定活佛转世制度需要很多调整，但在任何调整之前我们都需要讨论，然而最近没人在做这样的讨论。我愿意和那些年轻活佛的寺庙、活佛府以及他们的老师共同探讨，但他们假装什么也没发生。就像鸵鸟，当危险发生时，它们会在地上挖个洞，并把头藏在里面。至少鸵鸟还知道危险正在来临。而年轻活佛们的情况是，他们甚至都不知道出了什么问题。

你可能会认为我在夸大事实，但其实我是低估了事实。有的活佛甚至不知道用自助餐时怎么拿吃的。他们一直被人服侍。学生们对上师的虔敬心把情况搞得很复杂。所以，正在发生的是，寺庙与活佛府基本上是在毁掉这些年轻人，他们剥夺了这些孩子作为人的能力。如果你连自己的袜子都不会穿，我们怎能指望你去解救所有的众生呢？

最近有些年轻活佛的行为突然变得像秋阳创巴仁波切[7]那样，好像对这种制度产生了叛逆。但是他们的变革和叛逆方式有点儿奇怪，有点像我试着去画毕加索的画。毕加索做了所有那些疯狂的事，但是我们知道，毕加索可以画好传统的画，可他却超越了传统，这才是使得毕加索卓尔不群的地方。

秋阳创巴仁波切受过很好的训练，并且获得了成就。他知道怎样做好社会规范之内的事，却超越了那些，所以他很殊胜。那些模仿秋阳创巴仁波切或者正在试图变革的年轻活佛，大多只是叛离了一些肤浅表面的东西，而他们自己尚未成熟，很快就会出洋相。

[1] 祖古（藏Tulku）：活佛的同义词，字面意思为化身（Nirmanakaya），但通常指转世的喇嘛（上师）。
[2] 化身（梵Nirmanakaya）：化现之身，变幻的形象。佛的三身之一。证悟的这个面向能被所有凡夫所见。
[3] 噶玛巴（Karmapa）：噶玛巴活佛，噶玛噶举派的最高活佛，藏传佛教史上历史最悠久、转世最多的一大活佛系统。噶玛巴的法脉传承从第一世噶玛巴杜松虔巴（Karmapa Dusum Khyenpa，1110-1193）开始，一直不间断地传承至今。
[4] 贝玛·勒遮·嚓（Pema Ledrel Tsal，八世纪）：贝玛·萨的转世，龙钦巴尊者的前一世。莲花生大士在八世纪授予贝玛·萨心髓教法（Nyingtik teachings）。贝玛·勒遮·嚓发掘了空行心髓教法（Khandro Nyingtik cycle），并传授给他的主要弟子嘉·仁真（Gyalse Lekden）。贝玛·勒遮·嚓转世为龙钦巴（Longchenpa），并从嘉·仁真那里接受了完整的空行心髓教法。
[5] 贝玛·萨（Pema Sal，十三世纪）：藏王赤松德赞的女儿。当她在八岁死去时，莲花生大士将她复活，并授予她心髓教法（Nyingtik teachings）。依喜措嘉将这些教法作为伏藏保存起来。几世纪后，贝玛·萨的转世贝玛·勒遮·嚓（Pema Ledrel Tsal）发掘了空行心髓教法（Khandro Nyingtik cycle），而他的下一世是龙钦巴（Longchenpa）。
[6] 策列·那措·让卓（Tsele Natsok Rangdrol，1608年生）：噶举派和宁玛派的重要上师。他的著作包括《正念之镜》（Mirror of Mindfulness）、《大手印之灯》（Lamp of Mahamudra）、《太阳的循环》（Circle of the Sun）、《心要》（Heart of the Matter）和《灌顶》（Empowerment）。
[7] 秋阳创巴仁波切（Chogyam Trungpa Rinpoche，1939-1987）：在1970年代，将佛法传入西方的先驱者之一。年轻时是中国四川藏区著名的伏藏师，后离开西藏抵达欧美等地，传授金刚乘佛法于西方弟子。在美国科罗拉多州博德市设立那洛巴大学，北美第一所受佛教启发而兴建的大学，并创设结合禅修与世间修行之道的香巴拉训练课程（Shambhala Training），以及香巴拉中心，迄今约有近两百座遍布世界的修行、闭关中心。他著作了数十本关于佛法、禅修、艺术、诗歌和香巴拉勇士之道等书籍，包括众所熟知的《突破修道上的唯物》（Cutting Through Spiritual Materialism）、《自由的迷思》（Myth of Freedom）、《动中修行》（Meditation in Action）、《东方大日》（Great Eastern Sun）、和《觉悟勇士》（The Sacred Path of the Warrior）。


# 佛教与现代教育、艺术及社会
我们的孩子正在忘记自己是人。"
您觉得现代教育系统所提供的是孩子们真正需要的吗？佛教能够提供什么来帮助这些孩子呢，特别是在中国？,"教育在许多方面是个让人遗憾的现象，因为教育是某种形式上的洗脑，而每当洗脑时，我们总有些预谋。在我们的预谋中，我们总是认为自己的价值观是最好的——某个特定的系统、宗教、政治意识形态、经济结构，诸如此类。很早以前，某个人在某个地方决定黄金是好的，于是今天所有人都看重黄金并到处寻找。

虽然教育是个很令人遗憾的现象，但它却不可避免，不论幸或不幸，都将一直持续下去。考虑到这一点，我们能做的最好的事情，就是树立起大局观、远见和善心。

善良的根本就是，不只是关心和珍惜我们自己，而是从宏观出发，不仅考虑我们的子孙，而且也考虑到鱼儿必须在海洋里生活、蝴蝶必须在天空中飞翔、整个世界都必须运转。心中带着这种宏大的愿景，我认为理想的做法是改革教育体制，但是这恐怕不会发生。

这种愿景主导下的教育系统变革是很困难的，因为政府害怕这样的改变。如果他们这么做了，很多人会失业。很多消费者和企业家会不高兴。汽车公司会因为我们提出这种类型的教育系统而憎恨我们。基本上，我们的教育系统是被这个物质主义的世界所左右的。

并且家长们也会抵触这种变化。我自己有过这样的经验，当我让父母们把孩子送去印度南部一所主要教孩子们古典舞蹈的学校时，父母脑中立刻出现的念头是——那孩子将来怎么生存呢？他们的反应是可以理解的，也很值得尊敬。

我也需要很大的勇气，才能告诉别人这么做。人们很难认识到，即使孩子上了顶级的大学，也不能保证他们就能找到工作。我有很多朋友的孩子毕业于美国的常春藤盟校，却还是没有找到合适的工作。然而人们总是受盲目的希望所驱使。所以我认为，就善心和远见而言，佛教真的可以发挥影响并提供帮助。"
我们应该把佛教中的什么内容提供给孩子们？,"佛教能贡献很多很多。例如，孩子们知道我们有一种叫做“心”的东西吗？这是一个很大的问题，可我们一直忽略它。美国的学校教这个吗？中国的学校教这个吗？生物学和解剖学教给孩子们的仅仅是大部分人有两只脚、一个鼻子、两只手，每个手有五根指头。但是有一种东西叫做“心”，实际上它是最重要的，也是最有力量的。

我们可以教给孩子们，其他人和我们一样有感情，其他人和我们一样会生嫉妒心；我们可以教给孩子们，无论你做什么都有后果需要承担：我们用的卫生纸会导致树木的砍伐，你开的车可能让你的孙子患上肺癌。

然后，我们可以教他们缘起，教他们爱与慈悲，然后教他们道德莫大的重要性，但是最终要告诉他们，我们不应该被道德束缚。"
建立佛教幼儿园、佛教小学，甚至佛教大学，把佛陀的教授和科学、技术以及其他人文学科结合在一起，您认为这是一个好主意吗？,是的，但我认为在这个问题上必须谨慎，因为我们不想把佛教搞成某种充斥狂热崇拜的宗教组织。我认为佛教的价值观和智慧是非常重要的，但如果有一所佛教幼儿园、佛教中小学或者佛教大学，其目的不该是让更多的人成为佛教徒。其目的应该是让更多的人成为善良、有远见、有同情心、有教养、有创造性、优雅而勇敢的人。
如果您具备建立一所幼儿园的一切条件和资源，您希望它是什么样的？,"这当然是一个梦想。如果我有机会为孩子们建立学校，我想让他们了解做人是怎么一回事。从当今世界的各种显现来看，我们的孩子正在忘记自己是人，这不仅是个比喻，也是字面意义上那样。孩子们的行为举止开始变得像机器人那样，并开始认为其他人也像是机器人，所以当他们扣动扳机向别人开枪时，不会有良心上的不安。他们并不在意别人的痛苦。

我想要教孩子们在野外怎样生火，想让他们知道水的源头不是自来水龙头。教育的目标是改善我们自己，以便我们能以不同的方式看待世界，以便我们可以帮助别人，并通过帮助别人使我们自己幸福和满足。因此我们所学不是为了找工作，而是为了自我完善，让我们自己的内在和外在都更加优雅。

我们的孩子可以学习怎样才不那么无趣，并且不会骄傲地认为每个人都必须穿Prada的鞋子。为此，我想要在学校营造一种氛围。教学可以在一棵大树下面，在河边，或者在稻田里完成，课程可以包含早上三点钟起床去看天空的颜色，或者聆听寂静的声音。学校的校服可以是世界各地多姿多彩的服装。但这些都是我浪漫的想法，永远都不会实现。"
您知道中国的“虎爸”“虎妈”现象。父母们非常努力地教育孩子，希望他们日后取得成功。竞争日益激烈，孩子们负担很重，即使只是小学生，每天也要花很多时间学习。仁波切能否给这些父母一些建议？,"在某种程度上，我其实真挺喜欢这个主意的。但是，我认为重要的问题是，虎爸虎妈必须准备好自始至终都要做老虎。只做二十年的老虎，然后把孩子们留在有各种不同动物、虎爸虎妈和虎仔都不适应的荒漠里，这样做没有意义。

假如虎爸虎妈真的很好地训练了自己的孩子二十年，但是二十年后，世界完全改变了，原来的目标及为之教给孩子的所有东西都不再有用，那将会怎样？显然会是可悲的。可以说，小时候是开心玩耍的时候，然而因为虎爸虎妈，你失去了那样的欢乐。到了二十岁，你已经失去了童年的欢乐，现在你又要失去剩下的欢乐，所以实际上你将要失去所有的欢乐。

举个例子，我们这一代的很多孩子总有那么多事情可以谈论，在丛林中长大、在河里游泳，以及那些不是发生在学校里的事情，并且他们谈论的事情经常是很人性化的。后来我去香港和新加坡之类的地方旅行，那边的大多数孩子没有什么可以和别人分享的，他们除了最新的应用和软件以外，没有什么个人经历。"
如何才是最好的对待十几岁青少年的方式？,"对于这个问题，我没有特定的答案，但或许记住这一点会有帮助：从现在开始，很短时间内，可能只是十年，世界就会发生剧烈的变化。我们生活和沟通的方式将会改变，环境在变化，前沿技术的诞生将使我们的生活更快速、更高效、更经济。这也意味着，挑战也将变得更快、更高效、更复杂。

所以我们的孩子，在大约十年之后，在精神和身体上将会经历另一种不同的痛苦。这是我们作为父母、社会和政府应该知道的事情。意识到这些，即便没有一个实用的答案，我想也会有些帮助。

人们普遍认为，孩子们热爱自己的父母，在亚洲社会中尤其如此。我不知道这样的价值观还会持续多久。在西方，可以看到很多现代的孩子不仅不爱自己的父母，事实上还对他们有些反感。很多时候，这些十几岁的青少年对父母的反感有充分的理由。

我遇见过很多朋友，特别是在亚洲，作为父母他们给了孩子一切，但多年以后，孩子长大了却非常叛逆，这把家长们推到了最为令人抑郁的境地。所以，用一种有智慧的方式养育我们钟爱的孩子也是很重要的。"
从您的角度来看，父母和孩子之间完美的关系是怎样的？您可否谈谈年轻人应该成为怎样的父母？佛教可以帮助改善家庭关系吗？,"或许我有偏见。本身作为一个佛教徒，我会说，如果孩子们在佛教的环境中长大，父母都是修行的佛教徒，家里有佛像，他们闻思佛陀的教授，经常说些“爱”“慈悲”“宽容”和“智慧”之类的词，这肯定会有效果。至少比像阿富汗那样的地方好得多，在那里人们谈论的全是枪，还没有AK47高的孩子却背着AK47步枪。

当然，这是非常个人的看法。我不是说仅仅因为生活在佛教家庭，孩子们就可以成长为很好的人。事实上，不要强迫你的孩子成为佛教徒，这一点很重要。开放性的精神以及不把自己的见地强加给他人，是佛教徒引以自豪的事，也是佛教的方便之一，应该要保持下去。"
尽管如此，仁波切您会认为不信仰佛教的人就没有希望吗？,不是，他们作为人并不是真的没希望，特别是有其他很多同样深刻而优秀的宗教，比如耆那教和印度教的几个流派。对中国来说，受到道家哲学和智慧影响的人们是这个国家的希望，因为道家敢于讨论超越了这个世界的另一个世界，这是非常有价值的。
为什么您认为中国对佛教很重要？当代中国在寻找很多社会问题的解决之道时，应该如何从佛教中受益，对此您有何建议？,"我说得不一定对，但是我认为不仅是现在，即使是在历史上，中国也可能是唯一或者说是少数几个佛教进入到草根阶层的国家之一。在这少数几个国家中，中国是在社会层面接纳佛教的最大国家。即使在佛教诞生的国家——印度，佛教也从未真正进入到草根阶层。

同样，传统上中国是佛教最慷慨、最有力量的护持者，或许甚至超过戒日王[1]、阿育王[2]和迦腻色迦王[3]加在一起。这是一个值得思考和研究的题目。

当然，有些地方声称自己是佛教国家，比如缅甸、不丹和斯里兰卡，但佛教的规模却很小。当我谈到佛教融入到社会的支柱和基因里，融入到草根阶层的DNA里，我的意思是，中国甚至在“文化大革命”最高潮的时候，最为反对宗教的人也会喝一种叫做“铁观音”的茶。而在印度，我从未见过哪道菜品或茶品以菩萨的名字来命名。

或许这看起来没那么重要，但是这些事总是可以引发一个问题。有一天人们会问：“谁是观音？”伴随着这个简单问题背后的哲理，你会发现自己正处于观音菩萨大慈大悲的世界里。

中国有些新现象，我认为真的很好。过去的中国佛教徒可能更加重视虔诚心，但现在的中国人更具批判精神。然而即便带着所有这些批判性的思考，中国人对佛教还是感觉很熟悉、很亲近。佛教正在中国盛行。

中国能够从佛教智慧中得到很大收获，同样，佛教也能够从中国受益很多。佛教曾经受到、而且还在不断受到来自西方、基督教和穆斯林的不公平对待。佛教徒从不作声。任何一个西方记者，甚至眼睛都不眨一下，就可以画卡通漫画来嘲弄佛陀。在“佛吧”里有大佛像。在巴黎，我看到有餐厅用手托乞钵的佛像来摆放菜单。你听到过佛教徒的强烈抗议吗？

我并不是说我们应该大声疾呼，只是说，如果在美国有五个参议员修行佛法并且成为公开的佛教徒，那将是很有意思的事情。如果有五个佛教徒参议员，我认为现有的模式就会发生变化。至少，在理智的层面，人们会谈论爱和慈悲，这是很重要的。这里我不是作为一个精神主义者在说话，而是一个盲目捍卫佛教、想要看到佛教在更加世俗的层面成长的人。"
最近有西方研究者预言，三十年之内，中国将拥有世界上最大的基督教社会。仁波切对此有何看法？,"作为佛教徒，我深信因果。当因缘聚合，结果就会发生。所以如果某些因与缘在中国聚合，这个预言很可能成为现实。毕竟，阿富汗、印度尼西亚和巴基斯坦这些伊斯兰教主导的国家曾经都是佛教国家，而现在那里却找不到佛教的痕迹。

与此同时，谁会想到像佛教这样一个有两千五百年之久历史、看似古老的亚洲宗教会在欧洲和美国兴盛呢，但事情就是这样。事实上，佛教在知识分子与思想者当中更加流行，这些人不单有信心，而且很喜欢思辨。

对我来讲，这非常鼓舞人心，因为佛教没有强迫人们成为佛教徒的传统。事实上，佛教徒从未以宗教的名义或者为了把别人转变成佛教徒而发动战争。佛教也未用赠送毯子或者建立医院的方式来引诱或者贿赂其追随者。确实，佛教贫穷得甚至负担不起这些。

所以目前西方知识分子和热爱思辨的人们大量皈依佛教的现象是值得佛教引以为豪的，因为这意味着思想者和受过教育的人们决意寻找正确的、真理的道路。如果基督教或者其他宗教在中国兴盛是因为中国人用思辨和理智选择了自己生命的答案，那么这真的很棒，并且值得称道。

但我发现自己认识的中国人都很有个性，而且很实际，因此我个人认为，相比之下，他们会和提倡“你是自己的主人”的佛陀教法更加亲近。"
有的人试图把基督教和佛教结合在一起。仁波切对此有什么看法？,那是毫无用处的，非常愚蠢，而且是同时剥夺了两个传统。首先，你肯定不能把佛教加入到基督教、伊斯兰教或者其他宗教里去。我不是在说佛教更好——它只是不同。事实上，这些独特之处正是人类的财富，为我们提供了不同的见地、哲学和宗教以供选择。向左与向右不能被合并为一个方向，否则你哪儿也到不了。你应该选择一个方向，并尊重那些往另一个方向走的人。
中国年轻的佛教徒应怎样帮助佛教成长，您对此有何建议？除了慈善活动，我们还能做些什么？,"佛教的力量来源于对思辨与批判性思维的珍视。一直如此。如果你了解古代那些伟大的大学，比如那烂陀，就会很清楚，佛陀本人提倡批判性思维。不管是在中国还是其他地方，人们始终不应该忘记这一点。对于佛教的存续来说，对思辨与批判性思维的这种承许可能比慈善活动更加重要。与布施免费汤羹的寺院相比，我更喜欢一个有正规学术课程、能够学习批判性思维的寺院。

正如我之前所说，年轻人应该认识到，成为佛教徒不一定意味着必须成为僧侣，或者放弃拥有的一切去加入一个寺院。他们仍然可以听摇滚、跳舞、享受生活。当然，成为佛教徒以后，即便可能没有能力帮助他人，但至少要努力做到不伤害别人。他们可以继续自己的职业生涯，同时追随佛法。认识到这一点是很重要的。"
现在，我想问您对一些有争议的事情的态度。首先，您对同性恋者有什么看法？,"我个人对此没有看法。如果你问我佛教对同性恋的看法，那我只需要重复我以前说过很多遍的话——佛法的主要目标是真正地了解真理，并从错觉中得到解脱。错觉的意思是，看到幻象却以为它是真的。从这种错觉中解脱是最重要的事情。在这一过程中，我不认为性取向会带来很大的不同。我也不能说一个异性恋者比同性恋者有更多的机会了悟真理。事实上，同性恋者往往要敏感很多，这也可能对他们的精神旅程有些帮助。

但是我们必须记住，和其他所有宗教一样，佛教也是通过文化的媒介来传递的，所以一种对同性恋者有偏见的文化可能会把同性恋诠释为不道德的。但这是人类文化的问题，和佛教没有关系。"
您对卖淫有何看法？,"我们人类世界里有这么多偏见。对卖淫一类的事，我们怀有非常奇怪的偏见。同时，我们很尊敬律师和政治家这种职业。可很多时候，我们真的不知道是谁在做不道德的事。

我反对强迫卖淫——事实上不仅是卖淫，任何被强迫的活动都是痛苦的因，是不人性的。

对这个问题我很难给出一个黑白分明的答案，但是我愿意这样思考：一个雄心勃勃的医生甚至开药方时也可能在卖药，为了赚钱，他可能会告诉病人购买超过实际所需剂量的药。即便实际上并不是真的需要，病人却没有选择，只能按方服药。再来看大街上一个绝望的妇女，即使并非受人强迫，然而她出卖自己的身体，诱惑并利用人们的情感。有时候我们得坐下来想想，哪一个更糟糕。或许它们同样糟糕。"
您对毒品有什么看法？,"有很多不同种类的毒品。在佛教里，任何能让你迷醉或者改变心识状态的外部物质都是不建议使用的。不用说，很多这种药物对你的身体、心智，乃至最终对家庭和社会都是非常有害的。

但我们也得考虑其他一些事情。在这个世界上的每一个角落，酒精都是被社会接受的，往往成了某种惯例，甚至名垂青史。有时我想，如果有研究指出多少人的身心因为酗酒和抽烟而受到伤害，并与毒品进行比较，将会很有意思，因为我怀疑那并不比滥用毒品带来的伤害小。如果其他毒品被禁止了，那么或许点燃一根香烟或举起一杯香槟以及推广这些的广告也同样应当被禁止。"
您对堕胎和避孕有什么看法？,"我无法告诉人们不要有性行为。对于已经受戒的和尚或者尼师，显然毋庸赘言，他们不该有性行为。对于其他人来讲，我们不应该鼓励拥有不固定的多个性伴侣，不仅是从精神角度，也是从健康的视角。

那些怀孕并想堕胎的人曾经问过我很多次，他们该怎么办。如果你问的是佛教徒关于堕胎的立场，那么直截了当地说——从根本上你是在杀人。事实上，你在杀害自己的孩子，所以业报非常严重。

从实用性出发，我建议人们，特别是年轻一代，在寻欢作乐前应该非常谨慎，以便不让别人怀孕，或者不让自己怀孕。让一个在你身体里成长的生命夭折，这个事实可以如影随形地困扰你很长时间。如果是你自己要被流产掉，你会怎么想？"
仁波切可以谈谈艺术吗？一个艺术家，比如画家、音乐家、作家、歌手和舞者怎样才能有创造力，我的意思是，心灵层面的创造力？佛教在这方面能提供什么帮助吗？,"不仅是艺术，甚至政治、经济以及其他一切——当我们怀着正确的动机去开始努力的那一刻，我认为就已经是一种成功了。成功不能以完成的工作来衡量，而应该用是否以正确的动机开始来衡量。如果一项工作以正确的动机开始，即使连百分之一都没有完成，大乘佛教也会把它视为是成功的。不管怎样，“工作完成了”是什么意思呢？工作永远也做不完，而且也不应该做完。所以我认为艺术家、喇嘛、僧侣、政治家、警察、护士和军人——所有人都必须努力让自己的工作和正确的动机相吻合。

什么是正确的动机？基本上，正确的动机是以自私自利的心减弱了多少、利益他人的心增长了多少来衡量的。“他人”指的不仅是你自己的侄子、表兄、儿子和家人，而且还包括整个村子。甚至不止你的村子，而是你的国家。甚至不止你的国家，而是整个世界。应以这样的方式去从事艺术和其他所有的事。

除了那个基本的动机，艺术还扮演着一个很有力量的角色，因为很多时候我们不知道怎样用非常有限的工具和语言来表达和说明事物。例如，我们用有限的方法试图表达自己的爱。而爱是如此深刻，如此无限。当爱发生时，某种非凡的事情就发生了，难以衡量、估价和量化。它可能只持续很短的时间，但当发生时，就好像打哈欠时你感受到满足的体验。有某种感受，如此当下、如此生动，却不是你可以表达的。

这是一个例子，说明艺术，音乐、诗歌、舞蹈等艺术比有限的语言和工具更能描绘我们的体验。在我们的生命中，有这么多有价值的事值得去表达，可以给不仅几个人而是很多人带来利益。我相信艺术可以帮助我们表达这些。"
有了正确的动机，我们怎样才能更有创造力？,"很难。因为有创造性意味着从我们习惯的区域中走出来，那会很不舒服。如果要完全走出这个区域则更加困难。如果你的艺术是为了和别人沟通，在那个区域之外，也许没有任何能与你沟通的人。所以，这种情况就像是一只脚应该在界内，而另一只脚应该在界外。没有太多人会想要处在这样的境地。

一个人还需要非常诚实才能有创造性。诚实是困难的，因为我们习惯于不诚实的思考。我们受到这么多禁忌和压抑，而压抑会让你的创造性陷于困境。哪怕只是为了部分的有效沟通，你也必须屈从于其他人的沟通方式，然而，与此同时，你还想让他们知道些他们尚不知道的事情。那总是困难的。"
